LFQ	17	0	23	257	603	683	576	649	796	745	807	839	933	767	715	1000	1052	1263	1342	1394	1586	1378	1978	2442	2559	4298	3644	4709	5946	7842	8056	12055	22232	20727	41336	14232	2846	607	39	0	0	0	0
LFQ	18	0	34	268	571	727	565	731	844	716	860	908	1024	741	784	1098	1061	1336	1396	1482	1548	1466	1887	2536	2473	4572	3864	4885	6104	7891	8491	12481	19458	24550	38855	13349	2790	607	3	0	0	0	0
LFQ	19	0	41	266	591	837	616	715	870	830	803	923	1030	791	871	1122	1088	1375	1523	1430	1568	1687	1917	2424	2970	4685	3984	4585	5860	7875	8150	12612	19777	21185	41009	14313	2083	550	0	0	0	0	0
LFQ	20	0	29	267	637	751	568	816	916	875	904	1004	1078	811	942	1164	1179	1392	1536	1532	1609	1715	1953	2556	2457	4470	4359	4907	5178	7698	9352	12170	20005	22591	38317	13546	3097	575	0	0	0	0	0
LFQ	21	0	49	300	694	871	602	793	932	890	1004	998	1122	831	933	1386	1124	1499	1692	1789	1434	1749	2277	2400	2597	4234	4444	4746	6313	7526	8634	10982	18778	24881	38046	13195	2644	567	0	0	0	0	0
LFQ	22	0	71	309	658	819	663	863	1031	911	1014	1110	1128	888	1014	1292	1244	1584	1610	1741	1861	1734	2266	2542	2707	4664	4406	5046	5593	8505	8595	10826	18399	21282	38520	14645	2856	559	0	0	0	0	0
LFQ	23	0	59	371	758	902	646	878	1107	888	1052	1146	1231	980	1017	1312	1263	1649	1707	1761	1854	2007	2635	2282	3013	4312	4822	4954	5295	8154	8650	12157	20006	20274	39095	11301	2845	572	0	1	0	0	0
LFQ	24	0	66	394	831	854	766	1006	1183	881	1236	1227	1320	1197	1210	1364	1453	1847	1863	1925	2149	2433	2668	2508	3098	4200	5660	4767	6920	7338	9817	13300	18044	20477	36099	9788	2470	597	0	0	0	0	0
LFQ	25	0	71	412	867	857	751	1094	1129	1004	1131	1267	1336	1069	1130	1394	1384	1824	1923	1944	1987	2182	2651	2346	3689	4017	5195	4622	5952	7800	8712	12090	17917	22609	36245	11148	2662	545	0	0	0	0	0
LFQ	26	0	26	260	943	1063	1025	1072	1165	1081	1216	1295	1208	1005	1426	1485	1448	1961	1994	2126	1985	2486	2780	2274	3665	4229	5325	4322	5978	8223	8743	12387	16378	22725	36493	10117	2470	577	0	0	0	0	0
LFQ	27	0	25	285	1065	1054	1059	1052	1283	1049	1243	1387	1158	1250	1321	1634	1563	1911	1929	2189	2098	2773	2648	2671	3948	4142	5170	4901	5971	8160	10336	12007	18456	22019	30296	11826	2071	1006	0	0	0	0	0
LFQ	28	0	31	344	1101	1097	1281	1129	1457	1101	1322	1485	1135	1235	1424	1740	1689	2114	2146	2249	2221	2751	2644	3009	4140	4249	5447	4114	6769	8073	9070	11863	16725	24781	30955	10260	1803	0	0	0	2	0	0
LFQ	29	0	21	380	1187	1108	1223	1153	1560	1157	1445	1599	1232	1199	1540	1750	1889	2095	2204	2213	2256	2990	2706	2945	3787	4425	5554	4324	6336	8147	10383	13207	15138	21945	31853	9190	2308	507	0	0	0	0	0
LFQ	30	0	27	489	1180	1186	1367	1233	1499	1185	1583	1773	1310	1130	1786	1708	2050	2126	2200	2202	2453	3253	2761	3013	4102	4322	5340	4880	6685	7794	10517	14047	15126	20109	29813	9873	2319	515	0	0	0	0	0
LFQ	31	0	45	462	866	2203	785	1386	1416	1497	1991	1673	1537	1558	1904	1918	1837	2461	2545	2785	2913	2778	3215	2698	4487	4282	4977	5822	6361	7664	11876	10397	15146	19691	25415	13730	2100	535	0	0	0	0	0
LFQ	32	0	32	528	911	2174	850	1438	1300	1698	1914	1651	1527	1662	1821	1879	1887	2451	2617	2744	2838	2911	3163	3001	4506	4532	4700	6487	5879	8455	10218	12025	15267	20070	28713	8637	2009	461	0	0	0	0	0
LFQ	33	0	48	626	997	2329	868	1711	1521	1670	1896	1809	1637	1542	2054	2006	2011	2614	2871	2890	2886	3183	3152	3642	4392	4618	5024	6861	6361	8115	11868	11607	15598	19663	24879	7908	1653	446	0	0	0	0	0
LFQ	34	0	34	596	1125	2366	1041	1692	1753	1919	1717	2015	1861	1885	2163	2104	2321	2808	2999	3002	3329	2993	3447	4404	4424	4458	5880	6469	7096	10213	10968	11069	17632	18305	19611	8555	702	0	0	0	0	0	0
LFQ	35	0	135	598	1104	2513	1250	1780	1757	2122	1903	2036	2025	1899	2074	2240	2596	2759	3119	3166	3574	3454	4050	4742	4188	4977	6537	7360	7596	9935	11269	14611	16043	17410	16943	4618	571	1	1	0	0	0	0
LFQ	36	0	18	346	1083	4356	1371	1431	2220	1845	1933	2130	2235	2163	2137	2249	2821	2911	3394	3728	3944	4370	4134	4895	4707	5076	7248	9105	9003	10825	11277	13715	14100	12768	14762	4578	78	0	0	0	0	0	0
LFQ	37	0	25	654	1132	5186	1820	1588	2513	2397	2166	2805	2701	2449	2724	2826	3229	3623	3709	3694	4390	4855	5339	4609	6129	6550	6794	8944	8602	9247	10393	11164	12680	11638	13771	2610	0	0	0	0	0	0	0
LFQ	38	0	0	26	182	357	191	135	185	198	140	128	231	111	135	139	129	106	180	131	149	199	197	345	292	359	640	608	303	724	1006	1469	3304	6600	11056	5670	94	0	0	0	0	0	0
LFQ	39	0	0	27	195	379	165	147	201	232	114	128	174	111	127	135	137	158	158	122	163	247	194	347	306	377	671	312	558	771	932	1555	4210	6679	11719	3968	0	0	0	0	0	0	0
LFQ	40	0	0	24	198	345	224	141	178	188	130	123	219	110	152	187	123	181	150	198	229	162	140	398	260	439	623	650	280	729	1029	1378	3809	8258	11795	2669	0	0	0	0	0	0	0
LFQ	41	14	0	24	157	398	183	142	236	187	143	191	210	144	150	214	104	185	161	216	176	243	175	309	346	300	744	326	586	661	963	1796	3691	7920	10209	4215	0	0	0	0	0	0	0
LFQ	42	25	0	21	226	371	223	143	200	226	158	140	217	153	165	188	151	162	169	205	163	241	198	410	254	500	637	733	496	995	1149	1286	3634	7307	10173	4400	0	0	0	0	0	0	0
LFQ	43	0	24	21	275	435	205	169	290	214	209	208	246	200	228	332	156	237	245	479	407	424	435	326	572	276	579	757	636	998	1442	2243	3924	5839	10386	2302	0	0	0	0	0	0	0
LFQ	44	0	0	13	225	385	174	130	192	234	150	167	203	184	167	147	164	111	232	252	210	91	348	205	467	290	560	512	703	497	1013	1884	4243	7483	8257	5826	0	0	0	0	0	0	0
LFQ	45	0	0	25	200	371	201	159	246	191	166	223	202	122	159	193	130	132	215	169	217	195	291	171	511	386	516	495	466	866	1209	1821	4418	8039	7894	5025	95	0	0	0	0	0	0
LFQ	46	0	0	23	199	392	192	140	229	109	271	153	158	202	89	187	210	130	161	130	217	216	234	242	202	514	391	788	456	848	882	1926	3206	8189	9253	5180	0	0	0	0	0	0	0
LFQ	47	0	0	26	220	412	187	184	239	219	137	191	235	158	106	258	143	128	197	100	242	228	194	233	249	695	487	655	447	957	1096	2042	3227	8608	9211	3911	97	0	0	0	0	0	0
LFQ	48	0	0	31	236	399	261	131	232	243	174	157	216	168	161	180	189	119	217	122	265	221	255	238	459	501	406	849	351	948	1155	2270	3736	7713	9543	3573	0	0	0	0	0	0	0
LFQ	49	0	0	23	240	405	208	210	175	222	182	192	207	158	162	209	164	133	242	234	202	174	411	194	459	473	502	685	583	926	1641	2028	4430	6869	7580	5147	49	0	0	0	0	0	0
LFQ	50	0	0	32	240	388	230	162	241	258	153	203	212	204	152	178	178	166	222	188	294	125	409	166	453	578	422	742	617	799	1655	1988	4294	7200	7697	4873	0	0	0	0	0	0	0
LFQ	51	0	0	34	230	422	164	215	225	210	176	179	230	194	137	160	226	97	256	164	234	296	176	269	314	535	501	449	769	534	1354	1679	3237	8095	9279	4633	46	0	0	0	0	0	0
LFQ	52	0	0	26	218	458	231	142	270	181	206	209	266	182	84	257	163	166	250	178	260	257	154	406	287	664	363	710	613	691	1414	1965	3789	7224	9059	4376	0	0	0	0	0	0	0
LFQ	53	0	39	37	364	452	269	254	245	281	275	178	264	230	259	286	347	150	287	433	555	505	370	671	465	500	756	618	522	1081	1306	2096	4153	6812	6323	4272	64	0	0	0	0	0	0
LFQ	54	0	39	70	344	493	293	280	199	252	309	203	284	185	261	308	345	278	324	417	463	563	602	508	355	469	885	629	248	1162	1629	1929	3585	7345	6248	4215	0	0	0	0	0	0	0
LFQ	55	0	0	28	273	446	238	199	225	216	174	266	219	188	184	191	257	155	241	139	305	241	271	366	377	726	519	881	415	1087	1394	2661	3925	8054	7077	3721	60	0	0	0	0	0	0
LFQ	56	0	0	39	239	475	179	243	188	203	267	214	208	195	215	168	235	194	177	222	191	385	211	171	490	418	653	295	897	900	1432	2154	2999	7618	7655	5540	49	0	0	0	0	0	0
LFQ	57	0	0	34	267	487	202	213	260	168	238	204	234	168	126	243	207	212	125	317	90	389	269	211	520	448	777	351	778	1054	1671	2059	3222	7581	7895	4531	168	0	0	0	0	0	0
LFQ	58	0	33	36	468	507	229	222	261	277	309	346	241	278	245	355	359	281	351	477	222	558	528	536	240	879	520	479	1254	822	1774	2860	4013	6444	6209	3068	38	0	0	0	0	0	0
LFQ	59	0	0	39	273	526	286	170	238	222	215	253	267	226	190	201	279	200	271	158	233	387	180	488	336	904	499	394	1196	820	1764	2476	4073	7831	6819	3265	40	0	0	0	0	0	0
LFQ	60	41	30	0	289	570	311	221	222	321	250	267	267	168	239	276	288	115	385	169	433	222	485	376	749	537	614	717	846	951	2292	2776	6288	6881	4383	2718	22	0	0	0	0	0	0
LFQ	61	45	0	39	347	533	262	243	246	279	307	222	290	257	171	238	283	187	328	270	320	327	269	506	427	368	932	603	632	1232	1594	2109	3737	7402	7144	3570	0	0	0	0	0	0	0
LFQ	62	38	0	36	306	549	250	241	339	236	286	301	356	264	93	344	256	302	243	281	369	367	283	516	409	865	518	553	1031	843	2137	1817	4187	6827	6786	3325	165	0	0	0	0	0	0
LFQ	63	40	0	45	295	577	338	179	346	307	193	350	342	230	172	324	207	293	338	208	452	378	280	679	371	917	583	419	1404	943	2037	2870	3798	6857	5863	2881	203	0	0	0	0	0	0
LFQ	64	4	54	0	393	573	312	266	346	394	319	283	334	268	247	313	300	411	339	442	244	743	422	799	678	812	1029	519	934	1404	1900	2564	4390	5995	5037	2444	207	0	0	0	0	0	0
LFQ	65	32	0	41	375	595	312	200	374	281	239	336	316	334	234	241	282	297	335	170	521	291	308	693	276	1085	689	648	1256	1340	1730	3356	3863	7225	4829	2466	149	0	0	0	0	0	0
LFQ	66	35	0	50	253	723	189	313	276	283	348	328	248	284	337	174	433	220	283	310	331	402	344	301	678	533	756	548	690	1040	1457	2591	3917	6711	6465	3586	282	0	0	0	0	0	0
LFQ	67	35	0	49	369	614	293	304	383	225	360	271	335	292	244	349	233	239	248	502	167	637	307	159	864	485	956	698	696	1680	1363	2814	3485	6501	6724	2713	125	0	0	0	0	0	0
LFQ	68	2	0	52	425	658	336	240	375	359	269	410	322	298	291	309	349	264	476	130	550	372	336	747	462	937	676	765	856	1265	1354	3573	4002	6291	5133	2037	798	0	0	0	0	0	0
LFQ	69	0	52	0	423	634	352	299	408	372	264	402	330	322	358	342	277	303	485	475	539	207	817	441	681	894	1002	268	1315	883	2203	2298	4000	6061	5598	2280	134	0	0	0	0	0	0
LFQ	70	1	50	0	435	672	398	328	353	440	246	397	324	266	356	415	340	411	357	561	443	264	714	624	738	548	1150	267	1316	1051	2099	2041	3944	6506	5629	2019	16	0	0	0	0	0	0
LFQ	71	1	0	65	210	827	203	255	297	399	373	211	313	296	302	292	258	329	233	369	304	401	410	495	351	802	628	852	683	1036	1937	2377	4287	6648	6345	2582	329	19	0	0	0	0	0
LFQ	72	40	0	47	417	694	268	347	324	310	460	311	359	340	309	270	396	265	304	450	343	648	417	186	916	610	1015	800	733	1743	1465	2673	3995	6247	5211	2083	723	0	0	0	0	0	0
LFQ	73	44	0	80	399	705	292	356	408	222	465	334	426	342	259	367	337	329	276	485	361	723	427	213	897	573	1123	758	722	1981	1438	3134	4000	6178	4978	1871	189	27	0	0	0	0	0
LFQ	74	37	0	56	455	696	358	323	441	270	443	417	432	383	250	379	329	354	292	498	248	687	466	209	974	710	1092	844	984	1515	1885	3558	4795	5526	4094	1592	127	0	0	0	0	0	0
LFQ	75	37	0	61	413	722	370	363	419	226	449	350	516	371	277	363	388	415	242	517	245	718	498	194	1143	544	1142	875	1090	1760	1663	3774	5244	5376	3523	1282	149	0	0	0	0	0	0
LFQ	76	41	0	80	328	835	309	378	392	524	325	335	367	404	416	287	456	371	407	251	553	428	529	512	294	896	895	612	1057	1157	1458	2593	4023	5670	5823	2579	134	0	0	0	0	0	0
LFQ	77	30	0	76	333	845	339	405	369	417	414	386	391	362	528	194	579	320	467	352	515	282	753	553	133	1309	412	1315	871	1372	2259	2252	4931	5737	4611	1350	247	10	0	0	0	0	0
LFQ	78	31	0	56	493	786	365	457	463	256	481	448	366	477	340	368	452	335	406	637	260	413	749	575	514	871	513	1467	1129	1336	2102	3363	4387	5122	3962	1556	183	0	0	0	0	0	0
LFQ	79	25	0	73	428	898	330	459	485	312	519	446	467	367	382	398	431	375	375	537	351	369	809	685	750	758	717	1308	935	1340	2118	3204	4064	5605	3584	1493	322	0	0	0	0	0	0
LFQ	80	27	0	77	471	936	287	485	465	327	520	445	545	362	297	453	427	330	452	665	292	625	692	488	920	735	1383	978	834	2480	1644	3068	3936	5953	3050	915	155	0	0	0	0	0	0
LFQ	81	2	0	78	521	1135	342	552	442	649	639	460	636	464	524	482	594	412	611	568	934	593	470	1020	1011	1394	1217	1063	1955	1541	2546	2843	3112	3450	2211	1005	241	2	0	0	0	0	0
LFQ	82	0	0	83	397	1003	349	504	435	527	345	446	450	565	401	337	420	531	341	408	677	399	458	862	629	947	736	758	1599	1455	1121	3160	4011	5117	4514	1478	256	0	0	0	0	0	0
LFQ	83	22	0	87	395	1031	365	518	531	339	555	448	516	391	384	499	442	352	550	550	494	354	957	688	559	1045	509	1439	1132	1722	2254	2354	4859	4663	2915	1353	447	0	0	0	0	0	0
LFQ	84	41	0	64	397	1027	322	538	510	399	635	483	555	422	384	470	472	342	568	546	544	455	968	625	829	723	695	1722	1050	1483	2089	3123	3856	4837	3560	891	94	0	0	0	0	0	0
LFQ	85	27	0	70	477	1072	389	514	496	413	593	508	603	379	388	494	453	378	553	668	427	598	788	785	820	1003	701	1489	1039	1746	2577	3301	3628	4754	2905	633	50	0	0	0	0	0	0
LFQ	86	34	0	96	374	1153	353	587	480	527	394	567	560	512	416	541	272	553	375	565	534	609	576	874	622	826	995	370	1489	1315	1758	2332	3450	4887	4324	1981	418	0	0	0	0	0	0
LFQ	87	35	0	82	476	1098	375	664	354	641	354	564	497	658	412	463	514	624	264	561	703	496	764	674	611	1249	758	1311	923	1579	1815	2805	4240	3562	3858	1546	186	3	0	0	0	0	0
LFQ	88	29	0	76	554	1091	484	543	398	628	506	507	581	405	589	552	460	634	472	589	513	460	1095	625	378	1274	847	1484	1150	1608	2521	2084	4319	4436	2794	788	216	29	0	0	0	0	0
LFQ	89	38	0	95	543	1121	495	582	485	559	545	595	674	348	545	682	360	579	461	650	592	411	1189	583	424	1463	667	1461	1391	1352	2657	2487	4361	4150	2472	592	110	0	0	0	0	0	0
LFQ	90	37	0	76	578	1174	410	560	499	576	622	549	736	269	523	663	399	602	495	711	583	540	1173	654	911	1069	900	1260	1562	1175	2528	2073	4442	3977	2813	532	48	0	0	0	0	0	0
LFQ	91	38	0	85	467	1304	382	474	570	620	565	632	549	696	363	713	288	632	471	697	553	677	624	934	702	523	1232	641	1546	1245	1651	2592	2543	4858	4092	1501	232	27	0	0	0	0	0
LFQ	92	41	0	85	599	1316	411	759	393	715	373	702	514	766	485	585	646	569	448	587	696	517	1141	717	363	1225	1163	1381	985	1648	1502	2470	3564	4564	2868	810	111	0	0	0	0	0	0
LFQ	93	37	0	84	638	1235	634	697	488	779	422	679	754	501	716	551	471	645	461	935	500	398	1401	810	494	1203	835	1499	1478	1431	2299	2295	3223	3618	2668	676	164	0	0	0	0	0	0
LFQ	94	36	0	88	667	1293	634	715	535	636	526	757	785	421	626	676	461	581	630	804	623	449	1229	829	835	1175	960	1318	1426	1109	2572	2415	4141	3524	1758	441	44	0	0	0	0	0	0
LFQ	95	43	0	91	694	1362	576	748	552	595	808	576	949	417	515	773	650	374	683	751	644	694	1003	899	857	1290	1520	1311	1271	1792	2294	2658	2991	3481	1645	206	6	0	0	0	0	0	0
LFQ	96	52	0	0	730	1514	490	482	770	596	663	812	601	788	568	775	341	778	532	726	602	737	809	985	696	1029	796	820	1678	1034	1822	1849	2860	3774	3155	1725	121	8	1	0	0	0	0
LFQ	97	45	0	101	744	1579	425	778	643	732	508	844	503	957	588	549	603	713	491	633	945	594	1114	753	648	1344	916	1189	1457	1605	1342	2405	3438	2859	2646	858	167	3	0	0	0	0	0
LFQ	98	39	0	95	754	1439	514	875	590	861	565	720	904	644	722	634	644	827	407	1029	584	466	1277	871	552	1716	589	1885	1540	1062	2520	2074	2665	3079	2054	444	62	5	10	1	0	0	0
LFQ	99	42	0	90	743	1562	557	852	619	831	664	839	928	562	631	856	547	727	606	922	842	573	1342	739	1045	1277	930	1826	1680	1347	2162	1665	3619	2657	1294	137	6	0	0	0	0	0	0
LFQ	100	42	0	115	882	1526	574	918	713	735	634	859	926	554	754	912	409	774	782	961	645	755	1027	928	937	1272	1663	1162	1509	1675	2033	2506	2685	2556	1200	88	8	0	0	0	0	0	0
LFQ	101	41	0	0	919	1809	426	648	806	906	690	960	694	892	656	777	708	847	605	872	531	1072	924	918	766	1207	803	1012	1321	1470	1501	1866	2180	3265	2533	1035	59	0	0	0	0	0	0
LFQ	102	43	0	0	1068	1894	606	732	857	841	602	958	827	1087	501	725	755	766	631	802	993	502	1062	1021	906	1356	916	1800	1161	1562	1423	1650	3009	2677	1591	391	4	0	0	0	0	0	0
LFQ	103	348	0	0	1092	1855	681	793	862	836	696	1006	1007	906	791	630	776	792	554	1093	876	614	1359	837	875	1487	750	1849	1526	1224	2320	1743	2246	2296	939	60	0	0	0	0	0	0	0
LFQ	104	59	0	131	1301	1770	866	912	775	820	1147	523	1350	513	807	1014	582	884	594	1096	850	789	1282	755	975	1335	1778	1057	1694	1290	1864	1676	2715	1868	644	3	0	0	0	0	0	0	0
LFQ	105	53	0	0	1290	1716	950	747	946	912	827	916	1213	973	710	1135	397	1064	594	1225	798	932	1003	1063	1101	1237	1763	1674	1095	2125	1588	2002	2335	1013	322	0	0	0	0	0	0	0	0
LFQ	106	39	0	0	1398	2042	423	898	1084	877	1010	679	1034	1166	834	875	574	1089	569	1105	623	1050	1036	1016	556	1419	1334	830	1431	1781	1165	2270	2174	1966	1312	59	1	0	0	0	0	0	0
LFQ	107	39	0	0	1565	1761	471	752	1244	952	966	795	1063	1250	661	948	866	910	737	844	1184	577	1299	967	942	1612	786	1861	957	1482	1585	1657	1868	1844	1208	66	0	0	0	0	0	0	0
LFQ	108	633	159	696	1985	2390	947	1292	1022	693	1677	925	634	1369	954	1012	1151	601	1335	822	1493	1350	1725	1024	1470	822	1586	1132	1372	1341	1296	663	122	26	0	0	0	0	0	0	0	0	0
# GC Content of first fragments. Use `grep ^GCF | cut -f 2-` to extract this part.
GCF	0.25	17
GCF	1.01	18
GCF	2.01	17
GCF	3.02	43
GCF	4.27	41
GCF	6.53	56
GCF	8.54	118
GCF	9.55	119
GCF	10.30	116
GCF	10.80	220
GCF	11.31	221
GCF	12.31	223
GCF	13.32	379
GCF	14.07	378
GCF	15.33	382
GCF	16.33	676
GCF	17.09	680
GCF	17.84	679
GCF	18.34	685
GCF	18.84	1190
GCF	19.60	1194
GCF	20.60	1205
GCF	21.36	1224
GCF	21.86	2089
GCF	22.61	2101
GCF	23.37	2131
GCF	23.87	2156
GCF	24.37	3325
GCF	25.13	3338
GCF	26.13	3376
GCF	27.14	4427
GCF	28.14	4473
GCF	28.89	4585
GCF	29.40	4565
GCF	29.90	6020
GCF	30.65	6105
GCF	31.66	6178
GCF	32.66	7674
GCF	33.67	7733
GCF	34.42	7779
GCF	34.92	8914
GCF	35.43	8986
GCF	36.18	9011
GCF	37.19	9034
GCF	38.19	9909
GCF	39.20	9950
GCF	39.95	9976
GCF	40.45	10576
GCF	40.95	10539
GCF	41.71	10610
GCF	42.71	10630
GCF	43.72	11060
GCF	44.72	11069
GCF	45.48	11182
GCF	45.98	11769
GCF	46.48	11833
GCF	47.24	11880
GCF	47.99	11895
GCF	48.49	12053
GCF	49.25	12105
GCF	50.25	11994
GCF	51.01	12132
GCF	51.51	12554
GCF	52.26	12519
GCF	53.02	12463
GCF	53.52	12390
GCF	54.02	12375
GCF	54.77	12238
GCF	55.78	12308
GCF	56.78	10989
GCF	57.79	10783
GCF	58.54	10765
GCF	59.05	10685
GCF	59.55	8936
GCF	60.30	8850
GCF	61.31	8748
GCF	62.31	6460
GCF	63.32	6378
GCF	64.07	6281
GCF	64.57	6237
GCF	65.08	3934
GCF	65.83	3898
GCF	66.83	3879
GCF	67.84	2364
GCF	68.84	2324
GCF	69.60	2287
GCF	70.10	1315
GCF	70.60	1302
GCF	71.36	1281
GCF	72.36	1258
GCF	73.37	700
GCF	74.37	676
GCF	75.13	677
GCF	75.63	328
GCF	76.13	307
GCF	76.88	303
GCF	77.64	292
GCF	78.14	160
GCF	79.40	165
GCF	80.65	155
GCF	81.16	58
GCF	81.66	66
GCF	82.41	59
GCF	83.17	63
GCF	83.67	48
GCF	84.42	43
GCF	85.68	41
GCF	86.68	29
GCF	87.69	27
GCF	88.69	28
GCF	89.20	15
GCF	89.95	13
GCF	90.95	10
GCF	92.46	4
GCF	93.72	6
GCF	94.22	4
GCF	95.73	0
GCF	97.49	1
# GC Content of last fragments. Use `grep ^GCL | cut -f 2-` to extract this part.
GCL	0.25	13
GCL	1.01	11
GCL	2.01	12
GCL	3.02	45
GCL	4.02	44
GCL	4.77	46
GCL	5.53	72
GCL	7.04	71
GCL	8.54	141
GCL	9.55	145
GCL	10.30	141
GCL	11.06	220
GCL	12.06	223
GCL	12.81	224
GCL	13.32	385
GCL	14.07	384
GCL	15.08	392
GCL	15.83	391
GCL	16.33	687
GCL	17.09	685
GCL	17.84	687
GCL	18.34	695
GCL	18.84	1202
GCL	19.60	1210
GCL	20.60	1222
GCL	21.36	1242
GCL	21.86	2038
GCL	22.61	2046
GCL	23.37	2088
GCL	23.87	2086
GCL	24.37	2918
GCL	25.13	2971
GCL	26.13	3003
GCL	27.14	4386
GCL	28.14	4421
GCL	28.89	4478
GCL	29.40	4513
GCL	29.90	5681
GCL	30.65	5758
GCL	31.66	5802
GCL	32.66	7363
GCL	33.67	7407
GCL	34.42	7500
GCL	34.92	8689
GCL	35.43	8701
GCL	36.18	8691
GCL	37.19	8702
GCL	38.19	9537
GCL	39.20	9575
GCL	39.95	9605
GCL	40.45	10463
GCL	40.95	10442
GCL	41.71	10529
GCL	42.71	10568
GCL	43.72	10986
GCL	44.72	11054
GCL	45.48	11079
GCL	45.98	11218
GCL	46.48	11315
GCL	47.24	11279
GCL	47.99	11388
GCL	48.49	12024
GCL	49.25	11966
GCL	50.25	12059
GCL	51.01	12111
GCL	51.51	12267
GCL	52.26	12209
GCL	53.02	12138
GCL	53.52	12127
GCL	54.02	12144
GCL	54.77	12141
GCL	55.78	12042
GCL	56.78	11165
GCL	57.79	11045
GCL	58.54	10991
GCL	59.05	10956
GCL	59.55	9218
GCL	60.30	9117
GCL	61.31	9006
GCL	62.31	6658
GCL	63.32	6624
GCL	64.07	6541
GCL	64.57	6459
GCL	65.08	4165
GCL	65.83	4144
GCL	66.83	4069
GCL	67.84	2616
GCL	68.84	2588
GCL	69.60	2576
GCL	70.10	1539
GCL	70.60	1519
GCL	71.36	1488
GCL	72.36	1476
GCL	73.37	819
GCL	74.37	808
GCL	75.13	796
GCL	75.63	444
GCL	76.13	453
GCL	77.14	433
GCL	78.64	204
GCL	79.90	198
GCL	80.65	200
GCL	81.16	133
GCL	81.66	134
GCL	82.41	132
GCL	83.17	130
GCL	83.67	53
GCL	84.42	46
GCL	85.43	48
GCL	86.18	47
GCL	86.68	22
GCL	87.44	20
GCL	88.19	21
GCL	88.69	18
GCL	89.20	9
GCL	89.95	10
GCL	90.95	11
GCL	91.96	14
GCL	93.47	13
GCL	94.72	2
GCL	95.98	1
GCL	98.49	2
# ACGT content per cycle. Use `grep ^GCC | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]; and N and O counts as a percentage of all A/C/G/T bases [%]
GCC	1	29.53	20.70	20.67	29.10	0.00	0.00
GCC	2	27.58	22.48	22.60	27.33	0.00	0.00
GCC	3	28.13	22.20	22.08	27.59	0.00	0.00
GCC	4	26.33	23.72	23.81	26.14	0.00	0.00
GCC	5	27.60	22.58	22.68	27.14	0.00	0.00
GCC	6	26.09	24.01	23.93	25.97	0.00	0.00
GCC	7	27.40	22.89	22.89	26.83	0.00	0.00
GCC	8	27.17	23.10	23.12	26.61	0.00	0.00
GCC	9	27.13	22.97	23.10	26.80	0.00	0.00
GCC	10	27.17	22.96	23.09	26.78	0.00	0.00
GCC	11	27.32	22.97	23.12	26.58	0.00	0.00
GCC	12	27.24	22.83	23.08	26.85	0.00	0.00
GCC	13	27.50	22.65	22.83	27.02	0.00	0.00
GCC	14	27.53	22.69	22.90	26.88	0.00	0.00
GCC	15	27.28	22.92	22.93	26.87	0.00	0.00
GCC	16	27.27	22.91	22.95	26.87	0.00	0.00
GCC	17	27.27	22.86	22.91	26.96	0.00	0.00
GCC	18	27.19	22.94	23.12	26.74	0.00	0.00
GCC	19	27.27	22.91	23.05	26.77	0.00	0.00
GCC	20	27.15	22.94	23.09	26.82	0.00	0.00
GCC	21	27.20	22.96	23.08	26.76	0.00	0.00
GCC	22	27.12	23.13	23.20	26.55	0.00	0.00
GCC	23	27.20	22.88	23.16	26.75	0.00	0.00
GCC	24	27.00	23.03	23.28	26.68	0.00	0.00
GCC	25	27.09	23.07	23.19	26.64	0.00	0.00
GCC	26	26.95	23.09	23.23	26.74	0.00	0.00
GCC	27	26.95	23.12	23.24	26.70	0.01	0.00
GCC	28	27.00	23.14	23.21	26.65	0.00	0.00
GCC	29	27.07	22.99	23.22	26.72	0.00	0.00
GCC	30	27.05	23.16	23.17	26.62	0.00	0.00
GCC	31	27.02	23.22	23.37	26.38	0.00	0.00
GCC	32	27.01	23.13	23.36	26.49	0.00	0.00
GCC	33	26.93	23.17	23.30	26.60	0.00	0.00
GCC	34	27.04	23.07	23.18	26.72	0.00	0.00
GCC	35	26.90	23.19	23.37	26.54	0.00	0.00
GCC	36	26.88	23.26	23.20	26.66	0.00	0.00
GCC	37	26.95	23.21	23.25	26.59	0.01	0.00
GCC	38	26.38	23.72	24.02	25.88	0.00	0.00
GCC	39	26.59	23.61	23.87	25.93	0.00	0.00
GCC	40	26.29	23.58	23.96	26.16	0.00	0.00
GCC	41	26.25	23.79	23.80	26.16	0.02	0.00
GCC	42	26.16	23.95	23.77	26.13	0.03	0.00
GCC	43	26.46	23.88	23.60	26.06	0.00	0.00
GCC	44	26.44	23.64	23.91	26.01	0.00	0.00
GCC	45	26.40	23.79	23.89	25.92	0.00	0.00
GCC	46	26.32	23.78	23.81	26.09	0.00	0.00
GCC	47	26.11	24.05	23.87	25.97	0.00	0.00
GCC	48	26.18	23.84	24.00	25.98	0.00	0.00
GCC	49	26.19	23.90	23.80	26.11	0.00	0.00
GCC	50	26.06	23.86	23.91	26.17	0.00	0.00
GCC	51	26.37	23.60	23.91	26.12	0.00	0.00
GCC	52	25.87	23.79	24.09	26.25	0.00	0.00
GCC	53	26.34	23.71	24.04	25.91	0.00	0.00
GCC	54	26.36	23.69	23.89	26.06	0.01	0.00
GCC	55	26.12	24.16	24.06	25.67	0.01	0.00
