FFQ	17	0	47	232	153	306	319	410	417	460	476	538	572	499	532	827	746	772	979	1199	1024	1419	1567	1808	2054	3006	3286	3424	4766	6569	8924	13113	22663	26233	46665	17796	292	142	115	47	12	2	0
FFQ	18	0	62	225	195	270	334	474	414	458	551	494	739	532	648	836	769	885	937	1269	1068	1371	1792	1829	2296	2956	3634	3390	5016	6044	9739	11294	22890	30153	41166	19171	256	64	50	55	68	17	0
FFQ	19	0	38	258	164	318	391	435	470	482	505	548	731	506	633	779	816	888	978	1264	1111	1279	1988	1934	2037	2866	3565	3551	5235	6338	9458	13054	22407	29249	40912	18668	274	98	82	53	24	24	0
FFQ	20	0	64	276	174	316	369	538	501	547	541	628	644	637	750	864	831	923	1078	1244	1299	1193	2072	1838	2360	3031	3504	3715	5396	6447	8785	13368	21859	25044	44174	18904	223	88	119	55	12	0	0
FFQ	21	0	70	275	219	368	412	502	555	541	608	649	782	625	665	934	1031	993	1150	1328	1375	1508	2142	1982	2178	3493	3383	3992	5428	6902	8682	11689	21148	26804	42344	19103	288	104	99	43	13	4	0
FFQ	22	0	64	259	212	378	464	540	616	554	637	644	822	739	679	971	1066	1135	1245	1495	1414	1304	2373	2041	2224	3091	3723	3597	6175	6947	9629	11280	20499	24642	42423	19798	418	112	79	63	44	15	0
FFQ	23	0	74	294	265	383	454	620	575	592	680	683	842	727	699	1040	1199	1057	1243	1546	1566	1489	2100	2340	2279	3194	3700	3728	5536	6672	9885	11215	20171	24804	41061	21093	382	125	88	9	1	0	0
FFQ	24	0	96	320	242	477	454	628	599	706	681	728	912	703	815	1104	1153	1129	1311	1505	1496	1483	2241	2386	2445	3578	3759	3912	6110	7174	8980	12551	20330	25481	39902	18362	482	102	56	18	0	0	0
FFQ	25	0	98	378	281	492	511	662	660	733	778	733	1078	763	831	1204	1168	1196	1329	1599	1689	1612	2176	2391	2555	3516	3681	3899	5838	6702	9245	12189	19153	26427	39365	18916	262	54	82	44	52	69	0
FFQ	26	0	383	421	513	752	568	783	826	763	1054	873	1032	822	1022	1281	1134	1366	1664	1639	1807	1747	2262	2652	3202	3569	4150	4448	6517	8649	9465	11604	18616	29485	31893	16454	818	129	31	16	0	1	0
FFQ	27	0	100	355	354	516	446	743	809	872	978	826	1038	875	952	1277	1277	1254	1621	1936	1649	1869	2292	2518	2803	3492	4300	3846	6234	8267	9067	10848	17868	23043	39517	19586	704	131	94	32	22	0	0
FFQ	28	0	129	365	433	563	489	738	894	909	993	897	1088	893	1041	1337	1293	1452	1598	1963	1941	1919	2682	2702	2909	3822	4045	4428	6676	7158	9129	10927	19531	23014	37253	17709	965	301	93	58	45	29	0
FFQ	29	0	148	486	390	636	533	831	975	959	1082	947	1126	958	1194	1442	1398	1513	1661	2161	1961	2034	2805	2589	3079	3856	4120	4592	6374	8225	9346	10821	17349	24653	36074	16936	918	137	61	25	5	11	0
FFQ	30	0	206	443	470	664	516	927	956	1061	1148	999	1271	1054	1152	1468	1464	1696	1851	2151	2054	2261	2889	2796	3309	3604	4090	4600	6037	7880	10551	10185	17578	22034	36022	17519	1016	325	40	41	50	33	0
FFQ	31	0	147	354	588	677	1112	572	1141	1294	925	1212	1238	1232	1207	1273	1661	1543	2189	2260	2319	2504	2619	3264	3201	4191	4415	4767	6207	8517	9000	11501	17731	19767	34589	17470	1223	359	96	33	2	11	0
FFQ	32	0	163	494	510	715	1181	766	1192	1352	1008	1325	1330	1391	1392	1362	1680	1755	2270	2383	2540	2639	2693	3592	3088	4469	4268	5055	6712	8334	10197	10978	16633	20763	32582	16044	1034	388	78	32	5	18	0
FFQ	33	0	195	585	573	807	1264	796	1331	1499	1056	1430	1398	1493	1517	1510	1742	1844	2368	2477	2694	2880	3277	3430	3751	4371	4400	5127	7244	8528	9789	11089	19535	18300	32531	12191	1104	180	70	25	10	0	0
FFQ	34	0	199	620	623	892	1247	871	1497	1424	1227	1493	1479	1709	1482	1842	1818	2087	2828	2542	3153	2873	3663	3621	4214	4602	4697	6538	8505	9080	9847	13275	16980	20555	26582	9719	428	38	57	44	42	18	0
FFQ	35	0	208	817	630	1052	1465	1054	1553	1573	1256	1713	1646	1711	1594	1945	1971	2197	2992	2784	3038	3336	3901	4105	4405	5415	5479	6945	9487	9602	11603	14945	18590	16947	18828	9353	68	67	61	42	20	13	0
